expense_id,department_id,vendor_id,expense_date,expense_category,expense_amount
1,2,25,2025-06-07,Salaries,36547.87
2,2,38,2025-08-21,Equipment,33526.25
3,8,39,2026-04-12,Salaries,44924.38
4,1,30,2025-10-27,Office Supplies,58000.77
5,4,8,2025-08-07,Training,20729.35
6,4,40,2026-02-20,Salaries,59791.46
7,3,25,2025-11-01,Software,4100.54
8,5,15,2025-12-12,Utilities,56180.6
9,8,38,2025-12-28,Equipment,79532.83
10,1,24,2026-01-19,Software,78897.91
11,3,15,2025-09-29,Consulting,3022.92
12,2,40,2025-09-12,Training,14808.52
13,2,39,2025-05-16,Travel,61383.3
14,6,13,2025-11-12,Training,30269.64
15,3,19,2026-03-31,Training,36158.7
16,2,9,2025-09-08,Training,30363.82
17,3,1,2025-07-14,Equipment,11072.69
18,5,36,2025-11-10,Utilities,9931.34
19,1,16,2025-07-26,Equipment,31748.16
20,8,14,2025-09-19,Travel,58364.72
21,4,15,2026-03-10,Marketing,66868.32
22,7,11,2025-08-13,Salaries,78290.01
23,6,18,2025-09-14,Consulting,54043.24
24,1,12,2025-08-21,Equipment,34218.18
25,4,27,2026-04-11,Training,65957.15
26,3,38,2025-12-22,Marketing,37119.71
27,6,29,2026-02-01,Travel,22414.15
28,4,14,2026-04-11,Software,3061.28
29,2,1,2025-08-20,Training,49386.39
30,3,8,2025-12-06,Salaries,19632.97
31,4,4,2025-05-08,Software,8521.29
32,7,5,2025-11-21,Salaries,35992.06
33,8,7,2025-07-18,Salaries,19956.37
34,6,23,2025-06-07,Salaries,32480.1
35,7,11,2025-08-06,Marketing,43410.9
36,5,7,2026-02-08,Salaries,11640.78
37,3,17,2025-10-09,Office Supplies,19115.84
38,6,6,2025-11-10,Utilities,46409.25
39,7,14,2025-12-06,Utilities,19333.87
40,8,35,2026-02-23,Travel,78862.8
41,1,33,2025-08-06,Equipment,18072.9
42,3,28,2026-01-28,Office Supplies,22374.74
43,1,3,2025-11-05,Equipment,75907.36
44,1,14,2026-01-10,Travel,50266.45
45,5,25,2026-02-05,Training,44690.13
46,5,40,2025-11-11,Salaries,77797.07
47,5,3,2025-10-26,Training,62971.47
48,8,30,2026-03-08,Utilities,55856.52
49,8,21,2025-05-11,Training,12362.8
50,4,38,2025-06-10,Training,15118.38
51,6,10,2025-08-27,Equipment,38144.75
52,7,33,2025-07-30,Marketing,24408.55
53,6,25,2025-10-09,Travel,64559.2
54,8,34,2026-01-28,Salaries,45209.68
55,2,39,2025-08-07,Training,44804.3
56,8,15,2025-08-31,Travel,31379.31
57,5,13,2026-01-17,Office Supplies,16665.27
58,1,32,2025-12-16,Software,73816.98
59,2,39,2025-09-25,Utilities,7850.89
60,2,25,2025-11-04,Marketing,4597.16
61,7,25,2025-12-05,Training,54056.92
62,6,22,2025-11-27,Salaries,69952.83
63,3,30,2025-09-15,Marketing,64469.72
64,8,8,2025-10-17,Equipment,17752.81
65,6,11,2026-02-18,Marketing,69623.17
66,3,29,2025-12-04,Utilities,24603.45
67,8,26,2025-09-10,Salaries,17338.72
68,6,23,2025-09-18,Marketing,76985.17
69,7,40,2026-02-01,Software,59876.9
70,7,38,2025-10-28,Consulting,73198.08
71,5,5,2025-08-18,Marketing,32032.25
72,2,22,2025-09-01,Marketing,44390.3
73,5,20,2025-08-10,Office Supplies,30762.61
74,5,15,2025-08-02,Equipment,52073.35
75,2,38,2025-06-20,Office Supplies,21294.15
76,1,17,2026-02-09,Equipment,70683.55
77,7,17,2025-07-18,Consulting,8339.35
78,1,29,2025-09-04,Consulting,61049.5
79,2,30,2025-06-20,Utilities,73189.27
80,8,28,2026-02-17,Utilities,25377.3
81,2,23,2025-11-29,Salaries,45220.72
82,8,10,2026-02-25,Marketing,59429.56
83,1,6,2026-01-28,Salaries,21231.54
84,7,6,2025-07-15,Training,23967.79
85,7,12,2025-07-18,Marketing,26724.29
86,1,4,2025-07-28,Training,45798.27
87,7,7,2026-02-15,Marketing,40194.47
88,7,38,2025-11-09,Utilities,20957.48
89,8,15,2025-08-20,Consulting,77337.41
90,2,13,2026-02-10,Consulting,37135.91
91,6,29,2025-12-19,Utilities,13956.62
92,7,19,2026-02-24,Equipment,39321.15
93,4,9,2025-11-24,Equipment,79230.72
94,5,10,2025-12-22,Salaries,42153.58
95,8,8,2025-08-22,Software,75642.45
96,8,26,2025-06-13,Salaries,61264.94
97,3,18,2026-03-24,Training,11430.58
98,4,18,2025-07-19,Marketing,5903.45
99,2,11,2025-08-28,Travel,1226.75
100,4,35,2025-08-01,Equipment,36752.77
101,8,24,2025-09-22,Salaries,49617.9
102,8,14,2025-07-13,Consulting,52913.11
103,6,37,2025-08-30,Salaries,1025.68
104,3,35,2025-05-10,Equipment,33201.41
